lemma target_count comparison_count target_per_1k comparison_per_1k expected LL %DIFF status
ademais 39 121 139.78 31.57 10.86 49.14 126.31 POSKW
face 39 150 139.78 39.13 12.82 38.5 112.51 POSKW
bloom 14 23 50.18 6.0 2.51 29.48 157.28 POSKW
taxonomia 14 23 50.18 6.0 2.51 29.48 157.28 POSKW
peculiaridade 38 179 136.2 46.7 14.72 28.29 97.87 POSKW
crucial 20 59 71.68 15.39 5.36 26.51 129.29 POSKW
escopo 19 54 68.1 14.09 4.95 26.12 131.43 POSKW
postar 22 76 78.85 19.83 6.65 24.68 119.63 POSKW
conformidade 34 168 121.86 43.83 13.71 23.46 94.19 POSKW
pertinente 43 267 154.12 69.66 21.03 19.28 75.49 POSKW
ótica 22 98 78.85 25.57 8.14 17.81 102.06 POSKW
oportunizadas 10 23 35.84 6.0 2.24 16.56 142.64 POSKW
suma 17 67 60.93 17.48 5.7 16.27 110.83 POSKW
chsa 10 24 35.84 6.26 2.31 15.99 140.51 POSKW
aplicabilidade 22 108 78.85 28.18 8.82 15.34 94.7 POSKW
outrossim 11 31 39.43 8.09 2.85 15.24 131.91 POSKW
exposto 22 112 78.85 29.22 9.09 14.45 91.85 POSKW
alicerce 14 52 50.18 13.57 4.48 14.43 114.87 POSKW
julgar 19 89 68.1 23.22 7.33 14.27 98.29 POSKW
concomitantemente 13 46 46.59 12.0 4.0 14.19 118.08 POSKW
mobilização 48 356 172.04 92.88 27.41 13.75 59.77 POSKW
revelar 40 280 143.37 73.05 21.71 13.45 64.98 POSKW
portaria 28 169 100.36 44.09 13.37 13.34 77.91 POSKW
foto 15 64 53.76 16.7 5.36 12.91 105.21 POSKW
salientar 40 290 143.37 75.66 22.39 12.23 61.83 POSKW
decorrer 40 290 143.37 75.66 22.39 12.23 61.83 POSKW
educativo 132 1304 473.12 340.2 97.43 11.93 32.68 POSKW
projeção 15 68 53.76 17.74 5.63 11.84 100.76 POSKW
vertente 16 76 57.35 19.83 6.24 11.76 97.23 POSKW
areia 9 27 32.26 7.04 2.44 11.73 128.31 POSKW
ilustrar 14 61 50.18 15.91 5.09 11.7 103.69 POSKW
tinta 9 28 32.26 7.3 2.51 11.31 126.14 POSKW
moran 10 35 35.84 9.13 3.05 11.05 118.79 POSKW
contemporaneidade 35 255 125.45 66.53 19.68 10.55 61.38 POSKW
explicitação 11 46 39.43 12.0 3.87 9.73 106.66 POSKW
referente 46 384 164.87 100.18 29.18 8.96 48.81 POSKW
consonância 47 402 168.46 104.88 30.46 8.35 46.52 POSKW
aprimorar 25 176 89.61 45.92 13.64 8.28 64.47 POSKW
textura 15 85 53.76 22.18 6.79 8.12 83.19 POSKW
intermédio 15 86 53.76 22.44 6.85 7.93 82.22 POSKW
comentar 11 53 39.43 13.83 4.34 7.91 96.14 POSKW
aluno 109 1118 390.68 291.68 83.25 7.83 29.02 POSKW
permear 48 422 172.04 110.1 31.89 7.64 43.91 POSKW
velho 13 72 46.59 18.78 5.77 7.35 85.08 POSKW
imitar 9 40 32.26 10.44 3.32 7.31 102.23 POSKW
autêntico 11 56 39.43 14.61 4.55 7.22 91.85 POSKW
protótipo 10 49 35.84 12.78 4.0 7.0 94.84 POSKW
arranjo 38 323 136.2 84.27 24.49 6.91 47.11 POSKW
terrestre 11 58 39.43 15.13 4.68 6.8 89.06 POSKW
oportunizam 9 42 32.26 10.96 3.46 6.8 98.58 POSKW
crescente 22 160 78.85 41.74 12.35 6.67 61.54 POSKW
intuito 39 337 139.78 87.92 25.51 6.65 45.55 POSKW
cenário 51 472 182.8 123.14 35.49 6.47 39.0 POSKW
formato 24 182 86.02 47.48 13.98 6.44 57.73 POSKW
projetar 18 125 64.52 32.61 9.7 6.18 65.7 POSKW
conceituação 9 45 32.26 11.74 3.66 6.09 93.27 POSKW
localidade 16 107 57.35 27.92 8.35 6.04 69.04 POSKW
relevância 44 403 157.71 105.14 30.33 5.86 40.0 POSKW
oportunizar 28 230 100.36 60.01 17.51 5.78 50.33 POSKW
estudantil 17 119 60.93 31.05 9.23 5.72 64.98 POSKW
pressuposto 49 462 175.63 120.53 34.67 5.68 37.21 POSKW
relatar 14 91 50.18 23.74 7.12 5.66 71.53 POSKW
duração 24 191 86.02 49.83 14.59 5.52 53.28 POSKW
empreendedor 13 83 46.59 21.65 6.51 5.48 73.09 POSKW
estimar 9 48 32.26 12.52 3.87 5.45 88.14 POSKW
grego 9 48 32.26 12.52 3.87 5.45 88.14 POSKW
explorar 73 745 261.65 194.36 55.5 5.42 29.51 POSKW
propiciar 70 710 250.9 185.23 52.92 5.4 30.11 POSKW
coluna 11 66 39.43 17.22 5.22 5.31 78.41 POSKW
aplicação 54 527 193.55 137.49 39.42 5.22 33.87 POSKW
pilar 18 133 64.52 34.7 10.25 5.21 60.11 POSKW
professora 13 85 46.59 22.18 6.65 5.18 71.02 POSKW
relevante 62 622 222.22 162.27 46.41 5.12 31.18 POSKW
favorável 14 95 50.18 24.78 7.4 5.1 67.75 POSKW
narrar 13 86 46.59 22.44 6.72 5.04 69.99 POSKW
adoção 20 155 71.68 40.44 11.87 5.02 55.74 POSKW
interferência 11 68 39.43 17.74 5.36 4.98 75.87 POSKW
reconhecimento 75 779 268.82 203.24 57.94 4.96 27.79 POSKW
compartilhamento 18 136 64.52 35.48 10.45 4.88 58.07 POSKW
fundamentar 63 639 225.81 166.71 47.63 4.86 30.11 POSKW
aspiração 19 147 68.1 38.35 11.26 4.79 55.89 POSKW
inserção 61 620 218.64 161.75 46.21 4.65 29.91 POSKW
trilha 24 202 86.02 52.7 15.33 4.53 48.04 POSKW
positivamente 9 53 32.26 13.83 4.21 4.51 79.99 POSKW
ponto 105 1155 376.34 301.33 85.49 4.47 22.14 POSKW
software 11 72 39.43 18.78 5.63 4.37 70.92 POSKW
estruturação 25 215 89.61 56.09 16.28 4.35 46.0 POSKW
desenhar 16 121 57.35 31.57 9.3 4.33 57.99 POSKW
